,Tweets
0,Okay this is melt in your mouth goodness. All hail the carnivore diet. https://t.co/ujoUHlMB9f
1,"@awright4645 @saladeaufromage I'm not promoting it on that basis, I'm saying that a few people choose it to improve their health. Fewer people (in this theoretical scenario where everyone did go onto a carnivore diet) would be inevitable. That doesn't mean it's the intention of the diet."
2,"""the carnivore diet is more sinister than you think"""
3,@meat_rx @donlayman @SBakerMD Meatrx how do we ask @donlayman questions 4 show &amp; reply with followups? Stuck with question of how much carbs are required &amp; ideal in ketoadapted person in ketosis on all carnivore diet of 65-70% fat with rest protein to meet blood sugar needs 4 brain/red blood cells/leukocytes?
4,@awright4645 @saladeaufromage You've said yourself that fewer people could be fed on a carnivore diet - a transition to carnivore would therefore reduce more than just food emissions. One of the major drivers of population has been our ability to produce masses of cheap calories.
5,@jomickane @RealDeniseWelch Look into him eating a carnivore diet
6,"@saladeaufromage I don't know why you're being obtuse. It's not about whether the world will shift to carnivore diets. The point is that the small minority of animal products in the human diet are responsible for the majority of its harmful impacts, (e.g. habitat loss, water pollution, etc). So"
7,@ItsFearItSelf Meat has everything the human body needs and nothing it doesn't. The carnivore diet is way healthier.
8,"@saladeaufromage The point is that there's no reason to think a carnivore diet would kill fewer animals, considering that our 18% of animal-derived calories are responsible for 83% of the habitat that's cleared for agriculture and protected from pests, as well as 56-58% of water/air pollution"
9,"@UrsaAnders ""As long as it's meat, I'll eat it."" Though, he did have favorites, like most; just that he won't turn it down. That's just the way it was with being majority carnivore. Anything goes.

It would be nice to have an actual diet and appetite and not just going off rations. He +"
10,@YouLoseFool @Mr_iKeepitreal So how much of this weight loss would you attribute to the carnivore diet and how much would you attribute cutting your caloric intake by about 60%? Great job btw.
11,"Dr honeydip says (correctly, I believe) that sugar does not cause insulin resistance by itself

That's fine

Most people looking at something as ridiculous as a carnivore diet, however, are doing so because they are already insulin resistant."
12,@saladeaufromage It doesn't need to happen for us to see the comparative costs of animal vs plant foods. Animal foods represent a minority of the human food supply yet the vast majority of its environmental impacts. There is zero reason to think a carnivore diet is less harmful or more ethical
13,"Starting A New Era On The Carnivore Diet.

A new era in the Carnivore Diet has just started for me, I have just reached the ripe old age of 65. That makes me an Old Age Pensioner.

https://t.co/vqUONXi9IP"
14,"@livereater2 @tednaiman My diet is inbetween Baker's and Naiman's ""rules"".
Also 'cause doing a high P:E carnivore diet kind of sucks:
i.e. chicken breasts without at least some bell peppers mixed in, make you hate life."
15,"“Vice President Biden, how do you plan to lower healthcare costs? Also, have you ever tried the Carnivore Diet? My buddy Jordan Peterson is on it and he loves it”"
16,I’m so into the carnivore diet I eat the liver chips. No worries just great easy life. https://t.co/7mSkYkv8eN
17,"@ZubyMusic Can confirm. Lifting weights, sunbathing, carnivore diet and fixing my sleep.

My life circumstances haven't really improved at all, but I'm not depressed any more.

Also I'm way more jacked now."
18,Carnivore diet 💀 https://t.co/E4MOaoIT2r
19,"So to summarise:

- Veganism's ethical claims are outperformed by a regenerative agriculture carnivore diet.

- Its health claims are now considered pseudoscience.

So is the only thing that's left the environmental argument?"
20,Carnivore Diet Clinical Trial https://t.co/Ul5L1vsnQ5
21,@LaMonicaBuzz Carnivore diet changed my life. Fuck this vegetable oil shit.  What a hoax $bynd
22,"@AceofAll_Trades got a question for you.
How many times a day do you eat on the Carnivore diet?"
23,"This is what I typically eat for breakfast on the #carnivore diet. Applegate Naturals chicken sausage and bacon, both sugar-free 😋 https://t.co/UG6WeBKJWi"
24,"@PeterVagasi @jmclennan8 Nutjob is right. I didn't sign my donor card because organs are big business and have to be harvested while you're alive. Follow the math through on that one.

Moving on, thanks to captain weirdo balls, I think I'm ready to make the move to carnivore diet for a few weeks finally."
25,"@__shakinah Research indicates 70% of vegans quit.
Some become 'carnivore' activists because their experiences were so bad.
Others manage a vegan diet long term.
Good luck."
26,@californiasun1 @realfoodcures @SBakerMD Carnivore diet has absolutely nothing to do with chiropractic care.
27,joe have you ever seen a video of a chimpanzee eating a guys face off. that’s crazy bro. pull that shit up. donald you ever done DMT? the carnivore diet is pretty insane bro those guys are ripped as shit. you guys ever tried elk meat? I’ll give you some after the show don’t worry https://t.co/vhQZhPHBj5
