,Tweets
0,"@keanadianne Veganism is a lifestyle that includes the diet. The phrase was coined by Donald Watson who founded the vegan society. 

So yes. The diet is also included."
1,"@JasonVivier7 @SticksAndBr1cks I don't really attempt to manage anything, im vegan for animals first, i don't concentrate on much but in saying that i eat a varied diet from most groups though i could eat more leafy greens. B12 from nutritional yeast and fortified milks.This should help https://t.co/P8EX2uH0wL"
2,"@keanadianne Because veganism includes the diet, it's a lifestyle that also includes a diet. You cannot do one half and then eat meat and call yourself vegan. 
I think the issue is you're trying to change the definition of the vegan society to suit. Read Donald Watsons writings."
3,please tell me how you’re on a vegan diet and eating dairy whip cream
4,"@keanadianne Incorrect. 
The word Vegan was coined by the vegan society under Donald Watson. 
The society was setup as an animal liberation group but also included the term coined for people who abstain from all animal exploitation including diet."
5,"@keanadianne I gave you a simple example regarding a vegetarian eating meat and you said they are not vegetarian. 

It's the same thing with Veganism. If you eat meat or dairy you are not vegan. 

Sure you may be eating a mostly plant based diet, but it doesnt make you vegan."
6,"@keanadianne Because if you eat aninal products you are paying for the death of animals. If you cannot thrive or survive on a vegan diet, dont try it. If you cant do it you cannot just call yourself vegan anyway."
7,"Research has shown that #vegan or vegetarian #diets rich in plant-based foods are associated with lower LDL cholesterol, improved blood glucose and improved blood pressure- https://t.co/rd1HpicJQQ https://t.co/kYydIEvdPq"
8,"@Ambirdy123 I hate to be that vegan but you're plant-based, that's why you and vegans don't see eye to eye on this. It's not about diet for us, it's about the animals. You don't want to eat any animal products when you're vegan, and definitely don't encourage others to do it."
9,"@Theknowlestweet You aren’t really answering my questions. Why is a person who can’t eat a plant based diet, but still lives in a way that seeks to exclude, as far as possible and practicable, exploitation of and cruelty to animals not vegan? Why does someone have to be plant based to be vegan?"
10,"@keanadianne Well the definition of the vegan society covers that by using the phrase ""wherever practicable"" 
But if you cannot survive on a vegan diet you shouldnt even try to."
11,@Bee_Zelda Vegan 4 years. Adding more crops &amp;  efficient/environmentally friendly sources to my diet as frequently as possible.
12,"@Theknowlestweet This is extremely ableist and anti indigenous. There are many people who can’t thrive, or even survive, on a plant based diet. If a person is doing everything that they CAN do to reduce and eliminate animal suffering, why are they not vegan?"
